Entity,Code,Year,battery_electric_share
Italy,ITA,2003,0.006016813
Italy,ITA,2004,0.001833976
Italy,ITA,2005,0.023270601
Italy,ITA,2006,0.001104437
Italy,ITA,2007,0.000835664
Italy,ITA,2008,0.003541332
Italy,ITA,2009,0.002032257
Italy,ITA,2010,0.005286229
Italy,ITA,2011,0.016685885
Italy,ITA,2012,0.04304914
Italy,ITA,2013,0.088986364
Italy,ITA,2014,0.090229337
Italy,ITA,2015,0.092257214
Italy,ITA,2016,0.074450433
Italy,ITA,2017,0.099212623
Italy,ITA,2018,0.260342755
Italy,ITA,2019,0.555101099
Luxembourg,LUX,2001,0
Luxembourg,LUX,2002,0
Luxembourg,LUX,2003,0
Luxembourg,LUX,2004,0
Luxembourg,LUX,2005,0
Luxembourg,LUX,2006,0
Luxembourg,LUX,2007,0
Luxembourg,LUX,2008,0.001909891
Luxembourg,LUX,2009,0
Luxembourg,LUX,2010,0.00201102
Luxembourg,LUX,2011,0.062147912
Luxembourg,LUX,2012,0.196436367
Luxembourg,LUX,2013,0.403225806
Luxembourg,LUX,2014,0.729018135
Luxembourg,LUX,2015,0.157080455
Luxembourg,LUX,2016,0.286782303
Luxembourg,LUX,2017,0.731406916
Luxembourg,LUX,2018,0.813681911
Luxembourg,LUX,2019,1.78213169
Netherlands,NLD,2001,0.002451637
Netherlands,NLD,2002,0.002741384
Netherlands,NLD,2003,0
Netherlands,NLD,2004,0
Netherlands,NLD,2005,0.000430409
Netherlands,NLD,2006,0.000207133
Netherlands,NLD,2007,0.000397367
Netherlands,NLD,2008,0
Netherlands,NLD,2009,0.005721478
Netherlands,NLD,2010,0.025049322
Netherlands,NLD,2011,0.157758214
Netherlands,NLD,2012,0.761927883
Netherlands,NLD,2013,5.426785988
Netherlands,NLD,2014,0.871542837
Netherlands,NLD,2015,0.780745732
Netherlands,NLD,2016,0.982848884
Netherlands,NLD,2017,1.803308098
Netherlands,NLD,2018,5.375735576
Netherlands,NLD,2019,13.91034579
Norway,NOR,2013,5.78750765
Norway,NOR,2014,12.56068129
Norway,NOR,2015,17.11396034
Norway,NOR,2016,15.23285899
Norway,NOR,2017,18.93082712
Norway,NOR,2018,31.19393198
Norway,NOR,2019,42.38305942
Portugal,PRT,2001,0.001567306
Portugal,PRT,2002,0
Portugal,PRT,2003,0.000526893
Portugal,PRT,2004,0
Portugal,PRT,2005,0
Portugal,PRT,2006,0
Portugal,PRT,2007,0
Portugal,PRT,2008,0
Portugal,PRT,2009,0
Portugal,PRT,2010,0.008056323
Portugal,PRT,2011,0.13356267
Portugal,PRT,2012,0.086035946
Portugal,PRT,2013,0.198260968
Portugal,PRT,2014,0.142831137
Portugal,PRT,2015,0.347333098
Portugal,PRT,2016,0.342931558
Portugal,PRT,2017,0.738382852
Portugal,PRT,2018,1.783845099
Portugal,PRT,2019,3.075527594
Spain,ESP,2001,0
Spain,ESP,2002,0.000213434
Spain,ESP,2003,0
Spain,ESP,2004,0
Spain,ESP,2005,0
Spain,ESP,2006,0
Spain,ESP,2007,0
Spain,ESP,2008,0
Spain,ESP,2009,0.000104919
Spain,ESP,2010,0.0070273
Spain,ESP,2011,0.046655067
Spain,ESP,2012,0.069183478
Spain,ESP,2013,0.116091949
Spain,ESP,2014,0.125802635
Spain,ESP,2015,0.12975812
Spain,ESP,2016,0.164515125
Spain,ESP,2017,0.293457691
Spain,ESP,2018,0.452840012
Spain,ESP,2019,0.76327647
Sweden,SWE,2001,0.000811093
Sweden,SWE,2002,0.00039279
Sweden,SWE,2003,0.000382894
Sweden,SWE,2004,0
Sweden,SWE,2005,0.000365054
Sweden,SWE,2006,0
Sweden,SWE,2007,0
Sweden,SWE,2008,0
Sweden,SWE,2009,0.009894972
Sweden,SWE,2010,0.003116419
Sweden,SWE,2011,0.060003344
Sweden,SWE,2012,0.145768949
Sweden,SWE,2013,0.559817772
Sweden,SWE,2014,0.458640135
Sweden,SWE,2015,0.863213042
Sweden,SWE,2016,0.776224434
Sweden,SWE,2017,1.115281812
Sweden,SWE,2018,2.006186803
Sweden,SWE,2019,4.38164391
Switzerland,CHE,2013,0.568471591
Switzerland,CHE,2014,0.646920091
Switzerland,CHE,2015,1.029768781
Switzerland,CHE,2016,1.044072924
Switzerland,CHE,2017,1.519571005
Switzerland,CHE,2018,1.713839521
Switzerland,CHE,2019,4.175753912
Turkey,TUR,2014,0.008342825
Turkey,TUR,2015,0.016675946
Turkey,TUR,2016,0.003038558
Turkey,TUR,2017,0.010515262
Turkey,TUR,2018,0.031871953
Turkey,TUR,2019,0.05732642
United Kingdom,GBR,2001,0.001179642
United Kingdom,GBR,2002,0.001755938
United Kingdom,GBR,2003,0.000077557
United Kingdom,GBR,2004,0
United Kingdom,GBR,2005,0
United Kingdom,GBR,2006,0.012711103
United Kingdom,GBR,2007,0.016516733
United Kingdom,GBR,2008,0.008400376
United Kingdom,GBR,2009,0.002765268
United Kingdom,GBR,2010,0.008246775
United Kingdom,GBR,2011,0.056889047
United Kingdom,GBR,2012,0.087451581
United Kingdom,GBR,2013,0.158340682
United Kingdom,GBR,2014,0.325750524
United Kingdom,GBR,2015,0.381772871
United Kingdom,GBR,2016,0.381612204
United Kingdom,GBR,2017,0.534358386
United Kingdom,GBR,2018,0.631308491
United Kingdom,GBR,2019,1.637719913
